Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Technology_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
3/16/2023,48.1617,10.1291,Germany,2.6,PV,pre-construction,2023,,Western Europe,Europe,L820685,G823701,3.215
3/16/2023,51.2362,11.9562,Germany,3.4,PV,operating,2016,,Western Europe,Europe,L820686,G823702,3.041
3/16/2023,47.993,10.2219,Germany,2.9,PV,operating,2012,,Western Europe,Europe,L822085,G825116,3.298
3/16/2023,51.9599,11.1262,Germany,2,PV,operating,2012,,Western Europe,Europe,L820687,G823703,3.006
3/16/2023,51.983,11.1251,Germany,1.8,PV,operating,2022,,Western Europe,Europe,L820688,G823704,3.005
3/16/2023,51.4939,13.8467,Germany,10,PV,operating,2015,,Western Europe,Europe,L820689,G823705,2.983
3/16/2023,47.9104,12.7918,Germany,2,PV,operating,2018,,Western Europe,Europe,L820691,G823707,3.248
3/16/2023,48.2886,8.8135,Germany,6.4,PV,pre-construction,2022,,Western Europe,Europe,L820692,G823708,3.262
3/16/2023,51.2703,7.1605,Germany,1.3,PV,operating,2012,,Western Europe,Europe,L820693,G823709,2.835
3/16/2023,48.9386,11.6715,Germany,3.7,PV,operating,2022,,Western Europe,Europe,L820680,G823695,3.098
3/16/2023,54.1687,9.9588,Germany,7.1,PV,operating,2021,,Western Europe,Europe,L820681,G823696,2.809
3/16/2023,52.0225,11.6866,Germany,3.2,PV,operating,2012,,Western Europe,Europe,L820682,G823697,3.002
3/16/2023,52.492,13.6979,Germany,1.3,PV,operating,2009,,Western Europe,Europe,L820683,G823698,2.952
3/16/2023,51.8122,13.2289,Germany,3,PV,operating,2011,,Western Europe,Europe,L820684,G823699,3
3/16/2023,49.8001,9.7969,Germany,1.1,PV,operating,2015,,Western Europe,Europe,L820698,G823714,3.066
3/16/2023,48.0416,11.2744,Germany,1.4,PV,operating,2008,,Western Europe,Europe,L820701,G823717,3.275
3/16/2023,48.0416,11.2744,Germany,1.4,PV,operating,2007,,Western Europe,Europe,L820702,G823718,3.275
3/16/2023,49.196,9.4743,Germany,1.8,PV,operating,2014,,Western Europe,Europe,L820703,G823719,3.165
3/16/2023,52.5469,14.3738,Germany,2.5,PV,operating,2016,,Western Europe,Europe,L820704,G823720,3.001
3/16/2023,51.8979,10.1744,Germany,1.7,PV,operating,2012,,Western Europe,Europe,L820705,G823721,2.862
3/16/2023,51.5382,11.9452,Germany,4.1,PV,operating,2013,,Western Europe,Europe,L820706,G823722,3.015
3/16/2023,50.188,10.822,Germany,4.7,PV,operating,2016,,Western Europe,Europe,L820708,G823724,2.992
3/16/2023,50.188,10.822,Germany,2.9,PV,operating,2016,,Western Europe,Europe,L820710,G823726,2.992
3/16/2023,50.875,8.0227,Germany,10.1,PV,pre-construction,2021,,Western Europe,Europe,L820711,G823727,2.81
3/16/2023,50.2002,10.8562,Germany,3.9,PV,operating,2018,,Western Europe,Europe,L820709,G823725,2.979
3/16/2023,50.8255,12.4607,Germany,1.2,PV,operating,2006,,Western Europe,Europe,L820712,G823728,3.058
3/16/2023,47.7114,7.8139,Germany,2,PV,pre-construction,2019,,Western Europe,Europe,L820718,G823734,3.259
3/16/2023,48.7213,12.7248,Germany,1,PV,operating,2022,,Western Europe,Europe,L817588,G820564,3.224
3/16/2023,48.6895,11.125,Germany,1.9,PV,operating,2005,,Western Europe,Europe,L820719,G823735,3.174
3/16/2023,48.781,8.1499,Germany,1.1,PV,operating,2005,,Western Europe,Europe,L820720,G823736,3.192
3/16/2023,51.6656,14.6312,Germany,5.1,PV,operating,2012,,Western Europe,Europe,L820722,G823738,2.962
