Date_Last_Researched,Latitude,Longitude,Country,Capacity_(MW),Installation_Type,Status,Start_year,Retired_year,Subregion,Region,GEM_location_ID,GEM_phase_ID,PV_value
3/13/2023,41.0696,-7.5769,Portugal,2,onshore,operating,2013,,Southern Europe,Europe,L907707,G925335,322.92773
3/13/2023,41.0696,-7.5769,Portugal,3,onshore,operating,2013,,Southern Europe,Europe,L907707,G925336,322.92773
3/13/2023,41.0696,-7.5769,Portugal,6.6,onshore,operating,2013,,Southern Europe,Europe,L907707,G925337,322.92773
3/20/2023,39.8289,-8.4128,Portugal,2,onshore,pre-construction,,,Southern Europe,Europe,L910981,G925338,401.1884
3/13/2023,40.9654,-8.0294,Portugal,6,onshore,operating,2008,,Southern Europe,Europe,L912015,G925339,501.5733
3/13/2023,40.9654,-8.0294,Portugal,9.2,onshore,operating,2015,,Southern Europe,Europe,L912015,G925340,501.5733
3/13/2023,40.9654,-8.0294,Portugal,4.7,onshore,operating,2018,,Southern Europe,Europe,L912015,G925341,501.5733
3/13/2023,40.9654,-8.0294,Portugal,4.7,onshore,operating,2018,,Southern Europe,Europe,L912015,G925342,501.5733
3/13/2023,40.9654,-8.0294,Portugal,4.7,onshore,operating,2018,,Southern Europe,Europe,L912015,G925343,501.5733
3/13/2023,38.7336,-9.1387,Portugal,4,onshore,operating,2004,,Southern Europe,Europe,L920615,G925344,189.31293
3/13/2023,41.8246,-8.7108,Portugal,4.7,onshore,operating,2016,,Southern Europe,Europe,L913843,G925345,431.70172
3/20/2023,41.8246,-8.7108,Portugal,2.2,onshore,pre-construction,,,Southern Europe,Europe,L913843,G925346,431.70172
3/13/2023,38.9697,-9.1666,Portugal,6,onshore,operating,2006,,Southern Europe,Europe,L920616,G925347,492.6924
3/20/2023,41.427,-8.0581,Portugal,2.8,onshore,operating,2022,,Southern Europe,Europe,L909797,G925348,363.36725
3/13/2023,41.1628,-8.623,Portugal,6.3,onshore,operating,2009,,Southern Europe,Europe,L920617,G925349,211.11798
3/13/2023,40.8122,-7.3521,Portugal,3,onshore,operating,2015,,Southern Europe,Europe,L907734,G925351,370.61502
3/13/2023,40.8122,-7.3521,Portugal,3,onshore,operating,2015,,Southern Europe,Europe,L907734,G925352,370.61502
3/13/2023,40.8122,-7.3521,Portugal,1.5,onshore,operating,2015,,Southern Europe,Europe,L907734,G925353,370.61502
3/13/2023,40.6621,-7.924,Portugal,7,onshore,operating,2002,,Southern Europe,Europe,L920618,G925354,239.06425
3/13/2023,38.86,-9.2265,Portugal,5.2,onshore,operating,2003,,Southern Europe,Europe,L920619,G925355,408.748
3/13/2023,41.8118,-6.7509,Portugal,2,onshore,operating,2004,,Southern Europe,Europe,L920620,G925356,140.97037
3/20/2023,41.5249,-7.7965,Portugal,2.35,onshore,pre-construction,,,Southern Europe,Europe,L920622,G925358,121.35583
3/13/2023,39.8517,-7.9197,Portugal,4,onshore,operating,2018,,Southern Europe,Europe,L908273,G925359,368.51596
